shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
-1.90000000,-4.03709269,-8.06364441,-4.02655172,-10.25034523,-13.19795227,-2.94760704,-225.58918905,-197.36885071,28.22033834,13.50642228,-0.26716447,-13.77358675,638.92699715,636.96887207,-1.95812508,-97.91494751,-94.98992157,2.92502594,-45.27473563,-33.46987915,11.80485648
-1.68750000,-5.27026320,-6.95563126,-1.68536806,-5.75446558,-10.66861057,-4.91414499,-110.43763018,-107.09671783,3.34091234,8.62629175,-0.13779709,-8.76408884,330.57275179,344.26965332,13.69690153,-63.96997070,-63.68942642,0.28054428,-22.88002572,-17.72301865,5.15700707
-1.47500000,-5.45806408,-5.93236542,-0.47430134,-3.50656438,-8.75573540,-5.24917102,-51.90469456,-56.94388962,-5.03919506,5.32733297,-0.06913852,-5.39647149,168.39077406,182.35127258,13.96049852,-42.99361038,-42.52606201,0.46754837,-11.43247171,-9.03338528,2.39908644
-1.26250000,-5.15974617,-5.03496933,0.12477684,-2.24882603,-7.27824306,-5.02941704,-22.88319778,-29.79560852,-6.91241074,3.23051238,-0.03389040,-3.26440278,84.68961197,95.03863525,10.34902328,-29.43809605,-28.46137047,0.97672558,-5.57600295,-4.46023178,1.11577117
-1.05000000,-4.66746759,-4.26846313,0.39900446,-1.49370420,-6.11636734,-4.62266314,-8.84350157,-15.39840889,-6.55490732,1.97389284,-0.01629144,-1.99018428,42.12787543,48.91804123,6.79016580,-20.42485809,-19.20492935,1.21992874,-2.65860803,-2.14460659,0.51400144
-0.62500000,-3.60386515,-3.08069229,0.52317286,-0.70981163,-4.43763781,-3.72782618,0.65960312,-4.00905275,-4.66865587,0.80451597,-0.00359649,-0.80811246,10.14897934,12.63680840,2.48782906,-10.16397185,-9.12147141,1.04250045,-0.58523660,-0.46555310,0.11968350
-0.20000000,-2.70876503,-2.24906158,0.45970345,-0.36320454,-3.31462145,-2.95141691,2.20538777,-1.02379024,-3.22917801,0.37582802,-0.00076030,-0.37658833,2.37709886,3.20625234,0.82915348,-5.29893157,-4.65598774,0.64294383,-0.13227266,-0.09489640,0.03737627
0.22500000,-2.03048253,-1.66474152,0.36574101,-0.19693109,-2.53380442,-2.33687332,2.05456688,-0.25965747,-2.31422435,0.19575030,-0.00015658,-0.19590688,0.54462435,0.80981183,0.26518748,-2.91228786,-2.56040859,0.35187927,-0.03277225,-0.01851015,0.01426210
0.65000000,-1.53132987,-1.24937439,0.28195548,-0.11204419,-1.97413123,-1.86208703,1.64460591,-0.06594778,-1.71055369,0.10992897,-0.00003185,-0.10996082,0.12294516,0.20540364,0.08245848,-1.69067335,-1.50400341,0.18666995,-0.00958011,-0.00350500,0.00607511
1.28750000,-1.02079165,-0.83213997,0.18865168,-0.05185678,-1.39800811,-1.34615133,1.12047577,-0.00856007,-1.12903584,0.05096180,-0.00000293,-0.05096472,0.01299252,0.02675205,0.01375953,-0.82264562,-0.74732530,0.07532031,-0.00224005,-0.00028017,0.00195988
1.92500000,-0.69613689,-0.56883049,0.12730640,-0.02589035,-1.01909018,-0.99319982,0.76683691,-0.00114010,-0.76797701,0.02570418,-0.00000028,-0.02570446,0.00132877,0.00359496,0.00226619,-0.44014834,-0.40616518,0.03398316,-0.00073630,-0.00002225,0.00071405
2.56250000,-0.48512995,-0.39773560,0.08739436,-0.01376895,-0.76082277,-0.74705382,0.53473847,-0.00015649,-0.53489496,0.01384270,-0.00000003,-0.01384273,0.00013037,0.00050005,0.00036968,-0.25338385,-0.23604281,0.01734103,-0.00029119,-0.00000181,0.00028939
-1.20000000,-13.58190536,-20.27489471,-6.69298935,-15.35604191,-16.97703743,-1.62099552,-135.62802505,-123.24010468,12.38792038,22.44399643,-0.11276515,-22.55676158,431.20842942,398.77917480,-32.42925462,-85.71752930,-82.62454224,3.09298706,-24.49494472,-26.15560722,-1.66066250
-0.93333300,-11.87469387,-16.15550232,-4.28080845,-8.09158325,-13.00881290,-4.91722965,-55.77683353,-58.17662811,-2.39979458,10.77048111,-0.05953981,-10.83002092,205.45822294,191.95716858,-13.50105436,-55.86085129,-55.47821045,0.38264084,-12.39710853,-12.61544991,-0.21834137
-0.66666700,-9.90171051,-12.72385025,-2.82213974,-4.56753302,-10.16706944,-5.59953642,-20.74223328,-27.52756691,-6.78533363,5.21719325,-0.03370251,-5.25089576,99.02254836,93.63282776,-5.38972060,-37.67154884,-37.44384766,0.22770119,-6.11786653,-6.18603134,-0.06816481
-0.40000000,-8.06376934,-9.96250534,-1.89873600,-2.69627166,-8.07971191,-5.38344026,-5.93702507,-13.27384090,-7.33681583,2.58352369,-0.01997824,-2.60350193,48.80822146,46.91716003,-1.89106143,-25.96942043,-25.57046127,0.39895916,-3.03596103,-3.14260459,-0.10664356
-0.13333300,-6.50177670,-7.78813934,-1.28636265,-1.64463079,-6.51228046,-4.86764967,0.03279114,-6.56604099,-6.59883213,1.34879085,-0.01185131,-1.36064216,24.63264584,24.16452599,-0.46811985,-18.15252757,-17.68591499,0.46661258,-1.52839951,-1.63852286,-0.11012335
0.40000000,-4.21459007,-4.79228210,-0.57769203,-0.66270041,-4.38088703,-3.71818662,2.82202172,-1.70059049,-4.52261221,0.47392324,-0.00368349,-0.47760673,6.50590637,6.67891884,0.17301247,-9.09043205,-8.72361851,0.36681354,-0.38856854,-0.43476784,-0.04619930
0.93333300,-2.76792860,-3.00991821,-0.24198961,-0.29419491,-3.06071067,-2.76651576,2.48754916,-0.44877592,-2.93632507,0.22555947,-0.00092038,-0.22647985,1.67371782,1.82435203,0.15063421,-4.66657463,-4.44899845,0.21757618,-0.09314053,-0.10024475,-0.00710421
1.46666700,-1.85226357,-1.94228363,-0.09002006,-0.14248480,-2.20485878,-2.06237398,1.80002479,-0.11601490,-1.91603969,0.12314564,-0.00019143,-0.12333707,0.39903895,0.47795373,0.07891478,-2.47030253,-2.35562444,0.11467809,-0.02112125,-0.01971925,0.00140201
2.00000000,-1.26524031,-1.29020882,-0.02496850,-0.07422418,-1.62938440,-1.55516022,1.24791560,-0.02913240,-1.27704800,0.07059033,-0.00003499,-0.07062532,0.08752667,0.12042112,0.03289445,-1.36107465,-1.30309701,0.05797764,-0.00485815,-0.00341174,0.00144641
2.80000000,-0.74351567,-0.73673248,0.00678319,-0.03104124,-1.07702756,-1.04598632,0.72664858,-0.00348567,-0.73013425,0.03236208,-0.00000237,-0.03236445,0.00782843,0.01441003,0.00658160,-0.60607677,-0.58309108,0.02298569,-0.00068258,-0.00020778,0.00047479
3.60000000,-0.45796767,-0.44594193,0.01202574,-0.01431201,-0.74045503,-0.72614302,0.44144363,-0.00039632,-0.44183995,0.01577273,-0.00000015,-0.01577288,0.00060179,0.00164179,0.00104000,-0.29753545,-0.28578278,0.01175267,-0.00021629,-0.00001126,0.00020503
4.40000000,-0.29453847,-0.28402138,0.01051709,-0.00711624,-0.52576399,-0.51864775,0.28063960,-0.00004323,-0.28068284,0.00814706,-0.00000001,-0.00814707,0.00003874,0.00018050,0.00014176,-0.15855370,-0.15120959,0.00734410,-0.00006147,-0.00000059,0.00006088
-5.10000000,-2.31976843,0.56446075,2.88422918,-2.25056553,-15.77804565,-13.52748013,-43.02772760,-53.04823303,-10.02050543,0.26383603,-0.09759096,-0.36142699,143.20494276,169.88421631,26.67927355,-58.05200195,-58.92638016,-0.87437820,-8.06875106,-9.17045879,-1.10170774
-4.86250000,-2.18582773,0.29763412,2.48346186,-1.46750438,-12.93334961,-11.46584523,-20.98966169,-27.51452065,-6.52485895,0.27653408,-0.04811653,-0.32465061,72.77264997,88.03793335,15.26528338,-40.24768162,-40.38247681,-0.13479519,-4.08311362,-4.43420506,-0.35109144
-4.62500000,-2.02236557,0.04275131,2.06511688,-0.97936434,-10.68003273,-9.70066839,-9.92060566,-14.18301678,-4.26241112,0.23420906,-0.02337658,-0.25758564,36.75735074,45.39298248,8.63563174,-28.14163923,-27.86425209,0.27738714,-2.03072711,-2.11168981,-0.08096270
-4.38750000,-1.83523393,-0.16666412,1.66856980,-0.66391903,-8.88124180,-8.21732277,-4.39963651,-7.27199221,-2.87235570,0.18650326,-0.01121244,-0.19771570,18.43644067,23.28503418,4.84859351,-19.83452749,-19.42255974,0.41196775,-0.99489789,-0.99175060,0.00314729
-4.15000000,-1.64087653,-0.32299805,1.31787848,-0.45579240,-7.43497753,-6.97918513,-1.67996454,-3.71253228,-2.03256774,0.14505810,-0.00531533,-0.15037342,9.17251508,11.89436626,2.72185118,-14.09742832,-13.70838261,0.38904572,-0.48157927,-0.45948491,0.02209436
-3.67500000,-1.27787948,-0.49611664,0.78176284,-0.22246191,-5.31001186,-5.08754995,0.22735262,-0.96094090,-1.18829352,0.08490831,-0.00115792,-0.08606622,2.21171954,3.08513784,0.87341830,-7.33322969,-7.12348366,0.20974603,-0.11053077,-0.09483436,0.01569640
-3.20000000,-0.98050243,-0.54028702,0.44021541,-0.11371607,-3.88133955,-3.76762348,0.55367291,-0.24944508,-0.80311799,0.04851446,-0.00024426,-0.04875871,0.51549614,0.80451334,0.28901720,-3.99024484,-3.91924453,0.07100031,-0.02554055,-0.01872112,0.00681943
-2.72500000,-0.75033951,-0.51541138,0.23492813,-0.06081323,-2.89665461,-2.83584137,0.51372953,-0.06581641,-0.57954594,0.02737582,-0.00005061,-0.02742644,0.11690103,0.21384636,0.09694533,-2.27852231,-2.27152157,0.00700074,-0.00634793,-0.00359295,0.00275499
-2.25000000,-0.57571435,-0.46039581,0.11531854,-0.03393222,-2.20221949,-2.16828727,0.41045198,-0.01779073,-0.42824271,0.01548503,-0.00001045,-0.01549548,0.02605347,0.05832733,0.03227386,-1.36293901,-1.37670588,-0.01376688,-0.00186970,-0.00068326,0.00118644
-1.53750000,-0.39078942,-0.36559486,0.02519456,-0.01519629,-1.50487804,-1.48968175,0.27327990,-0.00261647,-0.27589637,0.00674219,-0.00000100,-0.00674318,0.00268160,0.00868593,0.00600433,-0.68047275,-0.69612658,-0.01565383,-0.00044429,-0.00005748,0.00038680
-0.82500000,-0.26929224,-0.28087044,-0.01157820,-0.00733829,-1.06114662,-1.05380833,0.17861269,-0.00039959,-0.17901229,0.00304942,-0.00000010,-0.00304952,0.00026747,0.00133775,0.00107028,-0.36624652,-0.37672237,-0.01047584,-0.00014992,-0.00000501,0.00014491
-0.11250000,-0.18866831,-0.21353531,-0.02486700,-0.00377894,-0.76851964,-0.76474070,0.11678312,-0.00006189,-0.11684501,0.00143295,-0.00000001,-0.00143296,0.00002298,0.00020846,0.00018548,-0.20934126,-0.21552871,-0.00618745,-0.00005961,-0.00000045,0.00005915
-1.50000000,-8.27941418,-5.01890945,3.26050472,-5.43471622,-12.54214668,-7.10743046,-52.29599857,-57.32945633,-5.03345776,5.62042820,-0.13134372,-5.75177193,184.24338241,189.30941772,5.06603531,-48.45357513,-49.34598160,-0.89240646,-16.85649405,-16.75616837,0.10032569
-1.23333300,-8.33928013,-5.15497780,3.18430233,-3.66862512,-10.03673553,-6.36811042,-26.49463177,-31.15342140,-4.65878963,3.44669792,-0.06775924,-3.51445716,105.56625981,103.09190369,-2.47435612,-33.89425659,-34.08782578,-0.19356918,-9.56422462,-9.34622478,0.21799983
