shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
0.93333300,-2.76792860,-2.77791977,-0.00999117,-0.29419491,-5.71360588,-5.41941097,2.48754916,-0.18965966,-2.67720881,0.22555947,-2.69896317,-2.92452264,1.67371782,1.13257587,-0.54114195,-4.66657463,-83.39871216,-78.73213753,-0.09314053,-1.86281955,-1.76967902
1.46666700,-1.85226357,-1.76094818,0.09131539,-0.14248480,-3.95561838,-3.81313358,1.80002479,-0.07269247,-1.87271726,0.12314564,-1.00952446,-1.13267010,0.39903895,0.48099947,0.08196052,-2.47030253,-45.69818115,-43.22787862,-0.02112125,-1.45090699,-1.42978574
2.00000000,-1.26524031,-1.15082359,0.11441672,-0.07422418,-2.82563615,-2.75141197,1.24791560,-0.02297405,-1.27088965,0.07059033,-0.38735887,-0.45794920,0.08752667,0.19735625,0.10982958,-1.36107465,-26.16760445,-24.80652979,-0.00485815,-1.12774670,-1.12288855
2.80000000,-0.74351567,-0.64351273,0.10000294,-0.03104124,-1.79125810,-1.76021685,0.72664858,0.00108231,-0.72556627,0.03236208,-0.09757814,-0.12994022,0.00782843,0.04929667,0.04146824,-0.60607677,-12.23646545,-11.63038868,-0.00068258,-0.77233773,-0.77165516
3.60000000,-0.45796767,-0.38316727,0.07480040,-0.01431201,-1.19159722,-1.17728521,0.44144363,0.00498806,-0.43645556,0.01577273,-0.02633098,-0.04210371,0.00060179,0.01178250,0.01118071,-0.29753545,-6.20322609,-5.90569064,-0.00021629,-0.53040981,-0.53019352
4.40000000,-0.29453847,-0.24103546,0.05350301,-0.00711624,-0.82444572,-0.81732948,0.28063960,0.00413899,-0.27650061,0.00814706,-0.00756405,-0.01571111,0.00003874,0.00273231,0.00269357,-0.15855370,-3.36825013,-3.20969644,-0.00006147,-0.36636776,-0.36630629
-5.10000000,-2.31976843,1.04649353,3.36626196,-2.25056553,-35.09317398,-32.84260845,-43.02772760,0.07894164,43.10666925,0.26383603,-84.05451202,-84.31834805,143.20494276,19.94148254,-123.26346022,-58.05200195,-1119.37744141,-1061.32543945,-8.06875106,-5.39768648,2.67106457
-4.86250000,-2.18582773,0.68318939,2.86901712,-1.46750438,-28.02049446,-26.55299008,-20.98966169,0.04239118,21.03205287,0.27653408,-43.41110229,-43.68763638,72.77264997,12.73366928,-60.03898069,-40.24768162,-757.23004150,-716.98235989,-4.08311362,-4.85460758,-0.77149397
-4.62500000,-2.02236557,0.36786270,2.39022827,-0.97936434,-22.56311226,-21.58374792,-9.92060566,0.01040190,9.93100756,0.23420906,-23.72521019,-23.95941925,36.75735074,8.11036777,-28.64698297,-28.14163923,-525.75854492,-497.61690569,-2.03072711,-4.36054087,-2.32981376
-4.38750000,-1.83523393,0.11554337,1.95077729,-0.66391903,-18.31587601,-17.65195698,-4.39963651,-0.01307693,4.38655958,0.18650326,-13.52808285,-13.71458611,18.43644067,5.15548801,-13.28095266,-19.83452749,-372.79144287,-352.95691538,-0.99489789,-3.91232562,-2.91742773
-4.15000000,-1.64087653,-0.07509232,1.56578422,-0.45579240,-14.98425865,-14.52846625,-1.67996454,-0.02815571,1.65180883,0.14505810,-7.96942663,-8.11448473,9.17251508,3.27288318,-5.89963190,-14.09742832,-269.08691406,-254.98948574,-0.48157927,-3.50672197,-3.02514271
-3.67500000,-1.27787948,-0.30471420,0.97316527,-0.22246191,-10.25424957,-10.03178766,0.22735262,-0.03957811,-0.26693073,0.08490831,-2.97882628,-3.06373459,2.21171954,1.31775868,-0.89396086,-7.33322969,-146.73228455,-139.39905486,-0.11053077,-2.81048870,-2.69995793
