batch_index,shift_angstrom,lr_es_kj_mol,lr_pol_kj_mol,lr_disp_kj_mol,sr_es_total_kj_mol,sr_pol_total_kj_mol,exchange_kj_mol,sr_disp_kj_mol,ct_like_kj_mol,dispersion_total_kj_mol,target_total_espol_kj_mol,total_nonbonded_kj_mol,weights
4,1.1666670000,-1.6928539276,-0.0885973349,-1.5529683828,1.8028820008,0.0806595432,0.1251275500,-0.0426052585,-0.0074148321,-1.5955736414,0.1020902814,-3.1572220098,1.0000000000
4,1.7000000000,-1.2044063807,-0.0459440425,-0.8897174597,1.3137559146,0.0435811349,0.0245107600,-0.0255453661,-0.0018152707,-0.9152628258,0.1069866263,-2.0359310838,1.0000000000
4,2.5000000000,-0.7540391684,-0.0189135354,-0.4208186865,0.8327848017,0.0184839815,0.0020960600,-0.0131195895,-0.0003187357,-0.4339382760,0.0783160795,-1.1267975185,1.0000000000
4,3.3000000000,-0.4931721091,-0.0085862307,-0.2165796310,0.5480681546,0.0084667218,0.0001597100,-0.0078882221,-0.0000874326,-0.2244678531,0.0547765365,-0.6713773433,1.0000000000
4,4.1000000000,-0.3344558775,-0.0042237029,-0.1193565950,0.3737606257,0.0041679760,0.0000117800,-0.0051679011,-0.0000295915,-0.1245244960,0.0392490212,-0.4239728814,1.0000000000
5,-3.4000000000,-4.6056814194,-9.1395158768,-225.9550933838,-124.0483255386,3.6082639694,400.6006073000,144.4702453613,-28.7282937789,-81.4848480225,-134.1852588654,142.4570127966,1.0000000000
5,-3.1875000000,-3.8671760559,-4.2809863091,-113.5497436523,-61.7863655090,1.1756103039,207.0618743100,58.2280883789,-13.8412861259,-55.3216552734,-68.7589175701,60.9918484600,1.0000000000
5,-2.9750000000,-3.2352895737,-2.2412824631,-63.0292396545,-29.7490739822,0.4975928068,105.0666606200,24.8432750702,-6.5700195365,-38.1859645844,-34.7280532122,20.1060482554,1.0000000000
5,-2.7625000000,-2.7207145691,-1.2950718403,-37.7033958435,-13.7164783478,0.3006818295,52.4871933200,11.0309534073,-3.0726989208,-26.6724424362,-17.4315829277,1.2946817028,1.0000000000
5,-2.5500000000,-2.3077390194,-0.8132372499,-23.8836574554,-5.8784315586,0.2394107580,25.8664438100,5.0699429512,-1.4225197921,-18.8137145042,-8.7599970698,-6.2507651689,1.0000000000
